Cost_ID,Task_ID,Cost_Category,Cost_Amount_USD,Vendor_Tool
C001,T0133,Software Subscription,3718,T&E Vendor
C002,T0157,Software Subscription,125,Gemini API
C003,T0875,Web Content License,9850,Legal Firm
C004,T0382,External Consultant,3824,Gemini API
C005,T1046,Travel/Retreat Expense,3558,Coda.io
C006,T0974,External Consultant,11648,Coda.io
C007,T0595,Software Subscription,6693,Slack
C008,T0472,Software Subscription,10659,Zoom
C009,T0234,Software Subscription,14591,Legal Firm
C010,T0572,External Consultant,8762,Slack
C011,T0771,Travel/Retreat Expense,10759,Zoom
C012,T1186,Software Subscription,7380,WordPress
C013,T0301,Web Content License,8169,WordPress
C014,T0306,Travel/Retreat Expense,4846,Zoom
C015,T0002,Software Subscription,7689,Coda.io
C016,T0271,Travel/Retreat Expense,9177,Coda.io
C017,T0421,Web Content License,13317,WordPress
C018,T1167,External Consultant,14132,Coda.io
C019,T0700,Software Subscription,7078,Gemini API
C020,T0864,Web Content License,9167,Coda.io
C021,T0960,Software Subscription,9233,Zoom
C022,T0994,Software Subscription,3141,T&E Vendor
C023,T1010,External Consultant,7865,Zoom
C024,T0879,External Consultant,5504,Coda.io
C025,T0692,Travel/Retreat Expense,671,Zoom
C026,T0867,Web Content License,12441,Legal Firm
C027,T1061,Web Content License,8896,WordPress
C028,T0107,External Consultant,12712,T&E Vendor
C029,T1121,Software Subscription,11821,Legal Firm
C030,T0281,Travel/Retreat Expense,5080,Legal Firm
C031,T1134,External Consultant,12652,Coda.io
C032,T0549,Travel/Retreat Expense,8673,Coda.io
C033,T0552,Travel/Retreat Expense,1336,Legal Firm
C034,T0188,Web Content License,2480,Legal Firm
C035,T0752,Travel/Retreat Expense,7277,Slack
C036,T0870,Web Content License,13769,Slack
C037,T0019,Software Subscription,14638,Gemini API
C038,T0859,Software Subscription,12071,WordPress
C039,T1285,External Consultant,10397,Legal Firm
C040,T0985,Software Subscription,1617,Zoom
C041,T0410,Web Content License,1633,T&E Vendor
C042,T0484,Travel/Retreat Expense,5987,Slack
C043,T0624,Travel/Retreat Expense,11586,Coda.io
C044,T0656,Software Subscription,11732,Legal Firm
C045,T0768,Web Content License,7959,Zoom
C046,T0018,Travel/Retreat Expense,3589,T&E Vendor
C047,T0184,Software Subscription,12237,Zoom
C048,T0405,Web Content License,4742,Gemini API
C049,T0799,Web Content License,9162,Zoom
C050,T1155,Travel/Retreat Expense,2250,Coda.io
C051,T0479,External Consultant,11524,Slack
C052,T0008,External Consultant,5419,Zoom
C053,T0705,Web Content License,11523,T&E Vendor
C054,T1160,Web Content License,3866,Slack
C055,T0531,Software Subscription,5060,Gemini API
C056,T0913,Web Content License,11499,Gemini API
C057,T0689,Software Subscription,6161,WordPress
C058,T1035,Software Subscription,12785,Coda.io
C059,T0553,Software Subscription,5957,Slack
C060,T0446,Web Content License,4587,Gemini API
C061,T1138,Web Content License,12118,Gemini API
C062,T0706,Software Subscription,14541,Slack
C063,T0196,Travel/Retreat Expense,7850,Zoom
C064,T0860,Web Content License,9904,T&E Vendor
C065,T0628,External Consultant,1177,Zoom
C066,T0981,Travel/Retreat Expense,1400,T&E Vendor
C067,T0630,External Consultant,10450,Gemini API
C068,T1189,Web Content License,10563,Gemini API
C069,T1276,Travel/Retreat Expense,14510,Coda.io
C070,T0044,Web Content License,6749,Slack
C071,T0489,Web Content License,7281,Legal Firm
C072,T0181,Travel/Retreat Expense,8238,Gemini API
C073,T1101,Web Content License,2629,T&E Vendor
C074,T0374,Travel/Retreat Expense,3360,T&E Vendor
C075,T0628,Web Content License,463,Zoom
C076,T0957,Software Subscription,14674,Zoom
C077,T0067,External Consultant,13812,Gemini API
C078,T1116,Software Subscription,945,Gemini API
C079,T0779,Web Content License,3132,WordPress
C080,T0651,Web Content License,1427,T&E Vendor
C081,T1268,Web Content License,11454,Coda.io
C082,T0341,Software Subscription,8683,Slack
C083,T0903,Web Content License,3355,Slack
C084,T0398,Travel/Retreat Expense,5236,Slack
C085,T0703,External Consultant,7208,T&E Vendor
C086,T0097,Web Content License,10351,Zoom
C087,T1229,Web Content License,3337,Coda.io
C088,T0449,External Consultant,10338,Slack
C089,T0077,External Consultant,12533,T&E Vendor
C090,T0896,External Consultant,9597,Legal Firm
C091,T0549,Software Subscription,5768,Gemini API
C092,T0798,Software Subscription,6412,WordPress
C093,T0815,Web Content License,11186,WordPress
C094,T1022,External Consultant,14605,Slack
C095,T0135,Web Content License,10324,Zoom
C096,T0654,Web Content License,9056,WordPress
C097,T1278,Web Content License,5565,WordPress
C098,T1279,Software Subscription,598,WordPress
C099,T0646,External Consultant,11660,WordPress
C100,T0720,Web Content License,6162,Slack
C101,T0613,Software Subscription,13553,T&E Vendor
C102,T0484,Travel/Retreat Expense,3044,Coda.io
C103,T1070,Travel/Retreat Expense,8052,Coda.io
C104,T0648,Web Content License,5956,Zoom
C105,T0792,Web Content License,12096,T&E Vendor
C106,T0579,External Consultant,12505,Gemini API
C107,T1028,External Consultant,12752,Legal Firm
C108,T0001,Web Content License,7938,Coda.io
C109,T0109,Software Subscription,6177,Legal Firm
C110,T0460,Web Content License,235,Coda.io
C111,T0266,External Consultant,9392,Coda.io
C112,T1162,External Consultant,10163,Zoom
C113,T0044,Software Subscription,4133,WordPress
C114,T0886,Web Content License,6800,Zoom
C115,T0944,External Consultant,4213,Coda.io
C116,T0983,Web Content License,14278,T&E Vendor
C117,T0262,External Consultant,12304,WordPress
C118,T0728,Travel/Retreat Expense,6646,T&E Vendor
C119,T0633,Travel/Retreat Expense,8496,T&E Vendor
C120,T0152,Travel/Retreat Expense,4694,T&E Vendor
C121,T0213,External Consultant,10663,WordPress
C122,T1016,Software Subscription,12982,T&E Vendor
C123,T1258,Travel/Retreat Expense,661,WordPress
C124,T0863,External Consultant,5500,Legal Firm
C125,T0623,Web Content License,7433,Gemini API
